natureza_juridica_codigo	natureza_juridica_descricao	natureza_juridica_escopo	imposto_importacao	imposto_exportacao	ipi	irpf	irpj	irrf	iof	itr	cofins	pis_pasep	csll	cide_combustiveis	contribuicao_previdenciaria	cpsss	pagamento_unificado	outras_receitas_rfb	demais_receitas
1015	Órgão Público do Poder Executivo Federal	embaixadas. os consulados. os escritórios de representações e demais unidades diplomáticas e consulares do Governo brasileiro em outros países ou em organizações internacionais. Conselho Nacional dos Direitos da Criança e do Adolescente (Conanda) e Advocacia-Geral da União	137030.42	0.00	15804.59	0.00	80855586.13	11951818069.67	73899.77	1890.51	13512943.62	3354831449.39	15281637.04	1872850.17	1023143169.97	6448526358.75	1092728702.60	19391632.56	245862026.30
1023	Órgão Público do Poder Executivo Estadual ou do Distrito Federal	órgãos públicos do Poder Executivo dos Estados ou do Distrito Federal. Governadoria do Estado ou do Distrito Federal. Secretarias Estaduais ou do Distrito Federal. conselhos dos direitos da criança e do adolescente. criados por Estado ou pelo Distrito Federal	18.70	0.00	0.00	0.00	38363.54	1942367.15	0.00	1209.82	174736.97	876877309.59	51807.58	19491.23	8631348024.99	0.00	31087540.55	2214398.77	1965731.10
1031	Órgão Público do Poder Executivo Municipal	os órgãos públicos do Poder Executivo dos Municípios. as Prefeituras Municipais. as Secretarias Municipais e os conselhos municipais dos direitos da criança e do adolescente	0.00	0.00	0.00	0.00	131.03	112728.05	684.00	10.00	4150.98	33220700.06	3193.65	0.00	1335824865.50	1137.88	58554.85	1124862.03	128070.20
1040	Órgão Público do Poder Legislativo Federal	os órgãos públicos do Poder Legislativo Federal	0.00	0.00	0.00	0.00	180172.30	1177166900.83	0.00	0.00	291979.76	63255.78	172395.48	24411.86	347330453.33	864231295.88	65745830.72	0.00	43509.21
1058	Órgão Público do Poder Legislativo Estadual ou do Distrito Federal	os órgãos públicos do Poder Legislativo dos Estados ou do Distrito Federal	0.00	0.00	0.00	0.00	0.00	18599.32	0.00	0.00	71701.41	1020950.11	23900.46	0.00	1127163625.77	131506.75	107248.03	5606526.19	0.00
1066	Órgão Público do Poder Legislativo Municipal	os órgãos públicos do Poder Legislativo dos Municípios	0.00	0.00	0.00	0.00	49258.10	2130742.60	0.00	0.00	137304.09	450932.85	44220.43	0.00	1789067033.63	78.93	129277.31	1224633.94	506864.13
1074	Órgão Público do Poder Judiciário Federal	os órgãos públicos do Poder Judiciário Federal	0.00	0.00	10.97	0.00	3597734.50	4406140026.99	0.00	0.00	2208261.51	501313.85	1091944.10	0.00	244277968.34	5819287766.48	341590529.01	48490467.12	139959058.45
1082	Órgão Público do Poder Judiciário Estadual	os órgãos públicos do Poder Judiciário dos Estados	0.00	0.00	0.00	0.00	0.00	25055868.84	0.00	0.00	0.00	3047420.54	0.00	0.00	820648870.30	141362.54	1972.11	213762.95	2756210.54
1104	Autarquia Federal	as autarquias institucionais. especiais ou comuns. as corporativas e as territoriais. inclusive aquelas qualificadas como agências reguladoras ou agências executivas. as entidades de fiscalização do exercício profissional (conselhos federais e regionais). inclusive a Ordem dos Advogados do Brasil (OAB). os Territórios Federais e os fundos especiais da União. quando dotados de personalidade jurídica sob a forma de autarquia	901.65	0.00	1098.17	0.00	12948880.34	7158646613.07	65.02	86.88	11360994.97	124810371.27	5470902.52	3172763.10	1324283424.37	9010160939.30	1088965002.98	4268781.16	1047438902.15
1112	Autarquia Estadual ou do Distrito Federal	as autarquias institucionais. especiais ou comuns. e as territoriais dos Estados ou do Distrito Federal. inclusive aquelas qualificadas como agências reguladoras ou agências executivas. os Territórios Estaduais (como o Distrito Estadual de Fernando de Noronha. a autarquia Territorial do Poder Executivo do Estado de Pernambuco) e os fundos especiais dos Estados ou do Distrito Federal. quando dotados de personalidade jurídica sob a forma de autarquia	0.00	0.00	0.00	0.00	3060.20	116289178.13	0.00	905.39	264199.24	704364973.92	911146.36	52132.58	2325978582.22	362.78	4042383.29	1514226.40	7659121.89
